Sources,Targets,Values,Percentages,Labels,Colors
0,1,46675,29.3%,Electricity,grey
0,2,102171,64.2%,Residential,green
0,3,7383,4.6%,Commercial,blue
0,4,2871,1.8%,Industrial,red
1,5,11825,25.3%,Transport,magenta
1,6,24126,51.7%,Public Housing,green
1,7,6568,14.1%,Private Housing,green
1,8,4157,8.9%,Subsidized Flats,green
2,9,8026,7.9%,Other Housing,green
2,10,15082,14.8%,Restaurant,blue
2,11,16234,15.9%,Retail,blue
2,12,4531,4.4%,Office,blue
2,13,5211,5.1%,Accommodation,blue
2,14,4394,4.3%,Human Health,blue
2,15,5300,5.2%,Education,blue
2,16,43392,42.5%,Data Centre,blue
3,17,120,1.6%,Other Commercial,blue
3,18,2653,35.9%,Textile & Apparel,blue
3,19,1962,26.6%,Non-manufacturing,red
3,20,1121,15.2%,Food & Beverage,red
3,21,1526,20.7%,Metal & Machinery,red
4,22,2726,94.9%,Other Industrial,red
4,23,145,5.1%,Rail,magenta
5,24,2027,17.1%,Other Transport,magenta
5,25,4307,36.4%,Cooking,grey
5,26,2262,19.1%,Air Conditioning,grey
5,27,621,5.3%,Hot Water & Refrigeration,grey
5,28,1176,9.9%,Lighting,grey
5,29,834,7.1%,Office Equipment,grey
5,30,598,5.1%,Laundry,grey
6,24,4259,17.7%,Others,grey
6,25,9257,38.4%,Vertical Transport,grey
6,26,4835,20.0%,Server Equipment,grey
6,27,1320,5.5%,Industrial Process/Equipment,grey
6,28,1788,7.4%,CLP,grey
6,29,1545,6.4%,HKE,grey
6,30,1122,4.7%,Gas,grey
7,24,996,15.2%,Coal & Oil ,grey
7,25,3102,47.2%,Renewables,grey
7,26,718,10.9%,Nuclear,grey
7,27,349,5.3%,,
7,28,639,9.7%,,
7,29,506,7.7%,,
7,30,257,3.9%,,
8,24,910,21.9%,,
8,25,1474,35.5%,,
8,26,871,21.0%,,
8,27,211,5.1%,,
8,28,215,5.2%,,
8,29,171,4.1%,,
8,30,304,7.3%,,
9,24,3618,45.1%,,
9,25,2723,33.9%,,
9,27,379,4.7%,,
9,26,1152,14.4%,,
9,31,59,0.7%,,
9,30,95,1.2%,,
10,25,5197,34.5%,,
10,27,3850,25.5%,,
10,31,96,0.6%,,
10,30,5939,39.4%,,
11,25,7334,45.2%,,
11,27,3130,19.3%,,
11,28,3351,20.6%,,
11,31,1629,10.0%,,
11,30,790,4.9%,,
12,25,2529,55.8%,,
12,27,356,7.9%,,
12,28,102,2.3%,,
12,26,605,13.4%,,
12,31,393,8.7%,,
12,30,546,12.1%,,
13,25,3317,63.7%,,
13,27,629,12.1%,,
13,28,265,5.1%,,
13,26,236,4.5%,,
13,31,224,4.3%,,
13,30,540,10.4%,,
14,25,2528,57.5%,,
14,27,658,15.0%,,
14,28,492,11.2%,,
14,26,119,2.7%,,
14,31,119,2.7%,,
14,30,478,10.9%,,
15,25,1988,37.5%,,
15,27,119,2.2%,,
15,28,125,2.4%,,
15,32,2932,55.3%,,
15,31,35,0.7%,,
15,30,100,1.9%,,
16,25,3237,7.5%,,
16,27,3608,8.3%,,
16,28,303,0.7%,,
16,26,1432,3.3%,,
16,31,5865,13.5%,,
16,30,28947,66.7%,,
17,33,62,51.2%,,
17,27,16,13.2%,,
17,25,23,19.0%,,
17,31,2,1.7%,,
17,24,1,0.8%,,
17,30,17,14.0%,,
18,33,903,34.0%,,
18,27,317,11.9%,,
18,25,257,9.7%,,
18,31,676,25.5%,,
18,24,34,1.3%,,
18,30,466,17.6%,,
19,33,837,42.7%,,
20,27,66,3.4%,,
21,25,459,23.4%,,
19,31,31,1.6%,,
19,24,489,24.9%,,
19,30,80,4.1%,,
20,33,585,52.2%,,
20,27,60,5.4%,,
20,25,224,20.0%,,
20,31,223,19.9%,,
20,24,4,0.4%,,
20,30,25,2.2%,,
21,33,578,37.9%,,
21,27,96,6.3%,,
21,25,667,43.7%,,
21,31,65,4.3%,,
21,24,10,0.7%,,
21,30,110,7.2%,,
22,30,2726,100.0%,,
23,30,145,100.0%,,
34,0,122266.8,100.0%,,
35,0,36482.4,100.0%,,
36,35,17630.15299,23.1%,,
37,35,18831.82204,50.7%,,
38,35,20.42496967,1.6%,,
36,34,58688.064,76.9%,,
37,34,18340.02,49.3%,,
38,34,1222.668,98.4%,,
39,34,44016.048,100.0%,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,